Date,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
1991-08-01,5.9,-6.21,1.19,6.01,5.07,0.85,3.24,3.65,0.79,2.86,1.26,-3.19,1.24,3.51,4.19,4.45,2.01
1991-09-01,-3.91,3.71,-0.74,3.21,0.94,-3.28,-0.63,-2.93,-3.32,-0.87,-3.15,-2.19,-0.29,3.71,-3.86,-0.25,-0.53
1991-10-01,-0.12,1.97,2.2,-3.43,4.28,2.41,4.56,-2.72,-0.95,-1.21,-0.26,-3.82,5.3,1.25,-2.88,2.06,3.36
1991-11-01,0.75,-0.27,-7.62,-3.89,-1.76,-5.75,-2.07,-2.47,-7.66,-5.29,-5.81,-8.39,-6.97,1.89,-1.08,-5.21,-4.83
1991-12-01,15.19,0.05,2.21,14.5,10.37,10.3,15.76,15.46,7.0,10.48,9.71,6.48,11.88,4.99,13.28,13.37,12.04
1992-01-01,-4.72,6.02,-4.11,5.79,4.9,0.3,-4.62,2.7,3.25,3.75,4.6,9.63,0.57,-4.57,0.92,0.81,0.98
1992-02-01,0.05,-0.39,-0.45,4.1,0.21,2.66,-1.36,1.81,7.04,3.29,4.45,15.18,1.64,-1.24,2.43,2.93,0.43
1992-03-01,-1.48,-8.15,-2.85,-1.4,-3.69,0.62,-4.42,-1.76,-1.29,-4.26,-4.0,1.27,-2.11,-0.53,-1.55,-0.83,-2.7
1992-04-01,-0.21,-2.38,9.47,-2.97,0.25,6.1,0.11,0.08,3.7,1.62,0.53,10.29,2.73,2.69,-3.95,0.89,1.66
1992-05-01,1.75,7.62,3.22,-1.58,-0.18,-0.95,0.79,3.38,0.96,-1.19,-0.48,-1.8,-1.37,2.54,-0.67,2.52,-0.97
1992-06-01,-1.89,6.97,-3.35,-5.89,-4.46,-4.69,-5.54,-4.94,1.95,-6.47,-2.26,3.94,-4.03,0.54,-1.35,1.22,-2.09
1992-07-01,5.07,0.52,5.37,6.22,5.1,4.16,6.11,6.5,-0.14,5.52,1.69,-0.91,1.96,6.72,3.19,3.45,3.96
1992-08-01,1.55,-4.65,2.49,-1.24,-2.12,-4.51,-3.12,-0.26,-9.14,-0.15,-4.59,-10.83,-4.79,-0.47,-0.34,-3.3,-2.16
1992-09-01,1.07,0.44,0.18,4.19,3.36,0.23,-3.49,2.55,-0.49,-0.54,3.16,-0.9,1.66,0.83,4.49,3.31,1.68
